#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
8900	 3.49	 2.50	 -153.93	 -1288.00	 -145.00	 -202.00
9000	 4.24	 2.27	 -153.90	 -138.00	 10.00	 32.00
9100	 4.24	 2.27	 -153.90	 -138.00	 10.00	 32.00
9200	 6.82	 2.44	 -152.34	 -126.00	 -93.00	 23.00
9300	 6.72	 2.81	 -152.34	 -79.00	 -6.00	 31.00
9400	 6.72	 2.81	 -152.34	 -79.00	 -6.00	 31.00
9500	 6.76	 2.48	 -153.04	 -78.00	 -59.00	 75.00
9600	 6.75	 2.48	 -153.06	 -23.00	 -37.00	 25.00
9700	 6.75	 2.48	 -153.06	 -23.00	 -37.00	 25.00
9800	 6.62	 2.51	 -153.77	 -62.00	 -25.00	 40.00
9900	 6.61	 2.52	 -153.80	 -55.00	 -33.00	 33.00
10000	 6.61	 2.52	 -153.80	 -55.00	 -33.00	 33.00
10100	 6.50	 2.51	 -154.50	 -49.00	 -30.00	 39.00
