#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
9200	 4.22	 6.84	 133.80	 -47.00	 46.00	 -16.00
9300	 4.31	 6.78	 134.29	 -53.00	 26.00	 -31.00
9400	 4.25	 6.80	 134.30	 69.00	 68.00	 -38.00
9500	 4.25	 6.80	 134.30	 69.00	 68.00	 -38.00
9600	 4.29	 6.81	 134.79	 -80.00	 31.00	 -37.00
9700	 4.26	 6.84	 134.81	 -63.00	 41.00	 -49.00
9800	 4.26	 6.84	 134.81	 -63.00	 41.00	 -49.00
9900	 4.35	 6.80	 135.30	 -85.00	 30.00	 -27.00
10000	 4.27	 6.85	 135.31	 -33.00	 40.00	 -28.00
10100	 4.27	 6.85	 135.31	 -33.00	 40.00	 -28.00
