#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
8900	 3.50	 12.18	 -114.85	 -64.00	 -254.00	 -116.00
9000	 3.42	 12.10	 -114.84	 -76.00	 -174.00	 -94.00
9100	 3.42	 12.10	 -114.84	 -76.00	 -174.00	 -94.00
9200	 3.54	 8.97	 -113.85	 -47.00	 -109.00	 -135.00
9300	 3.59	 8.88	 -113.79	 -6.00	 -109.00	 -84.00
9400	 3.59	 8.88	 -113.79	 -6.00	 -109.00	 -84.00
9500	 3.79	 8.20	 -112.01	 -29.00	 -51.00	 -110.00
9600	 3.80	 8.19	 -111.94	 -99.00	 146.00	 -183.00
9700	 3.80	 8.19	 -111.94	 -99.00	 146.00	 -183.00
9800	 4.00	 9.24	 -109.77	 -43.00	 -61.00	 -64.00
9900	 3.97	 9.30	 -109.72	 -56.00	 136.00	 -129.00
10000	 3.97	 9.30	 -109.72	 -56.00	 136.00	 -129.00
10100	 3.57	 10.50	 -108.13	 17.00	 202.00	 -80.00
10200	 3.61	 10.57	 -108.06	 -29.00	 42.00	 -62.00
10300	 3.61	 10.57	 -108.06	 -29.00	 42.00	 -62.00
10400	 3.05	 12.10	 -107.19	 88.00	 44.00	 -1.00
10500	 3.04	 12.06	 -107.19	 -234.00	 74.00	 -6.00
10600	 3.04	 12.06	 -107.19	 -234.00	 74.00	 -6.00
10700	 3.30	 11.94	 -107.80	 -31.00	 -49.00	 112.00
10800	 3.30	 11.97	 -107.83	 -95.00	 -49.00	 115.00
10900	 3.30	 11.97	 -107.83	 -95.00	 -49.00	 115.00
11000	 3.30	 11.47	 -109.73	 -224.00	 -66.00	 100.00
11100	 3.26	 11.42	 -109.83	 -230.00	 -311.00	 164.00
11200	 3.26	 11.42	 -109.83	 -230.00	 -311.00	 164.00
11300	 5.37	 9.40	 -112.43	 -87.00	 -183.00	 126.00
11400	 5.37	 9.36	 -112.53	 -193.00	 -237.00	 127.00
11500	 5.37	 9.36	 -112.53	 -193.00	 -237.00	 127.00
11600	 4.59	 7.14	 -115.87	 57.00	 -16.00	 157.00
11700	 4.47	 7.13	 -115.98	 -12.00	 79.00	 193.00
11800	 4.47	 7.13	 -115.98	 -12.00	 79.00	 193.00
11900	 4.47	 7.13	 -115.98	 -12.00	 79.00	 193.00
12000	 3.48	 8.79	 -121.87	 -75.00	 -21.00	 487.00
12100	 3.46	 8.85	 -122.13	 -245.00	 3.00	 530.00
12200	 3.46	 8.85	 -122.13	 -245.00	 3.00	 530.00
12300	 3.46	 8.85	 -122.13	 -245.00	 3.00	 530.00
12400	 3.04	 14.07	 -133.61	 -92.00	 -40.00	 563.00
12500	 2.95	 14.23	 -133.95	 -74.00	 26.00	 563.00
12600	 2.95	 14.23	 -133.95	 -74.00	 26.00	 563.00
12700	 2.95	 14.23	 -133.95	 -74.00	 26.00	 563.00
12800	 1.59	 12.98	 -148.62	 -170.00	 16.00	 488.00
12900	 1.56	 12.94	 -148.97	 -103.00	 -24.00	 501.00
13000	 1.56	 12.94	 -148.97	 -103.00	 -24.00	 501.00
13100	 1.56	 12.94	 -148.97	 -103.00	 -24.00	 501.00
13200	 2.13	 13.14	 -160.50	 -68.00	 -132.00	 93.00
13300	 2.15	 13.18	 -160.68	 -35.00	 -30.00	 -99.00
13400	 2.15	 13.18	 -160.68	 -35.00	 -30.00	 -99.00
13500	 2.15	 13.18	 -160.68	 -35.00	 -30.00	 -99.00
13600	 1.62	 11.85	 -159.74	 -14.00	 -163.00	 -74.00
13700	 1.65	 11.80	 -159.67	 -268.00	 -74.00	 -139.00
13800	 1.65	 11.80	 -159.67	 -268.00	 -74.00	 -139.00
13900	 1.65	 11.80	 -159.67	 -268.00	 -74.00	 -139.00
14000	 4.99	 9.71	 -157.83	 -57.00	 -97.00	 -108.00
14100	 5.07	 9.66	 -157.78	 -114.00	 148.00	 -82.00
14200	 5.07	 9.66	 -157.78	 -114.00	 148.00	 -82.00
14300	 5.07	 9.66	 -157.78	 -114.00	 148.00	 -82.00
14400	 5.56	 10.42	 -156.60	 5.00	 65.00	 96.00
14500	 5.54	 10.46	 -156.59	 6.00	 125.00	 57.00
14600	 5.54	 10.46	 -156.59	 6.00	 125.00	 57.00
14700	 5.54	 10.46	 -156.59	 6.00	 125.00	 57.00
14800	 2.90	 13.13	 -158.60	 -228.00	 -27.00	 149.00
14900	 2.80	 13.13	 -158.70	 -124.00	 -121.00	 91.00
15000	 2.80	 13.13	 -158.70	 -124.00	 -121.00	 91.00
15100	 2.80	 13.13	 -158.70	 -124.00	 -121.00	 91.00
15200	 4.70	 12.30	 -161.37	 -139.00	 -112.00	 14.00
15300	 4.70	 12.26	 -161.41	 80.00	 -66.00	 -10.00
15400	 4.70	 12.26	 -161.41	 80.00	 -66.00	 -10.00
