#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
9000	 1.90	 7.82	 -145.56	 68.00	 -60.00	 133.00
9100	 1.90	 7.82	 -145.56	 68.00	 -60.00	 133.00
9200	 -0.87	 7.14	 -147.65	 246.00	 -132.00	 82.00
9300	 -1.06	 7.11	 -147.72	 -139.00	 -306.00	 -46.00
9400	 -1.06	 7.11	 -147.72	 -139.00	 -306.00	 -46.00
9500	 -0.83	 4.41	 -148.26	 -153.00	 -220.00	 -95.00
9600	 -0.83	 4.28	 -148.23	 89.00	 -112.00	 -70.00
9700	 -0.83	 4.28	 -148.23	 89.00	 -112.00	 -70.00
9800	 -0.16	 3.08	 -147.00	 27.00	 64.00	 -39.00
9900	 -0.21	 3.22	 -146.96	 64.00	 50.00	 -9.00
10000	 -0.21	 3.22	 -146.96	 64.00	 50.00	 -9.00
10100	 -0.36	 4.59	 -146.30	 216.00	 -63.00	 46.00
