#Time(ms)	 Roll 	 Pitch 	 Yaw 	 gX 	 Gy 	 gZ 
9200	 -1.46	 0.28	 -1.68	 6.00	 9.00	 3.00
9300	 -1.46	 0.28	 -1.68	 7.00	 8.00	 3.00
9400	 -1.46	 0.28	 -1.68	 7.00	 8.00	 3.00
9500	 -1.46	 0.28	 -1.72	 6.00	 6.00	 4.00
9600	 -1.46	 0.28	 -1.73	 6.00	 7.00	 3.00
9700	 -1.46	 0.28	 -1.73	 6.00	 7.00	 3.00
9800	 -1.46	 0.28	 -1.78	 6.00	 8.00	 2.00
9900	 -1.46	 0.28	 -1.78	 7.00	 8.00	 2.00
10000	 -1.46	 0.28	 -1.78	 7.00	 8.00	 2.00
10100	 -1.46	 0.27	 -1.82	 7.00	 8.00	 3.00
