#Time(ms)	 xPos 	 yPos 	 zPos 	 xValid 	 yValid 	 zValid 	 validreasons x-y-z 
200	 0.00	 0.00	 0.00	 0	 0	 0	 -2	 -2	 -2
300	 0.00	 0.00	 0.00	 0	 0	 0	 -2	 -2	 -2
400	 0.00	 0.00	 0.00	 1	 1	 1	 -3	 -3	 -3
500	 6.06	 0.35	 0.50	 1	 1	 1	 -3	 -3	 -3
600	 9.54	 0.26	 -0.23	 1	 1	 1	 -3	 -3	 -3
700	 11.05	 0.65	 -0.83	 1	 1	 1	 -3	 -3	 -3
800	 15.84	 0.75	 -1.01	 1	 1	 1	 -3	 -3	 -3
900	 14.62	 0.48	 -2.12	 1	 1	 1	 -3	 -3	 -3
1000	 14.27	 0.86	 -1.63	 1	 1	 1	 -3	 -3	 -3
1100	 14.27	 1.02	 -1.44	 0	 1	 1	 -2	 -3	 -3
1200	 14.27	 1.07	 -2.56	 1	 1	 1	 -3	 -3	 -3
1300	 14.13	 1.08	 -2.40	 1	 1	 1	 -3	 -3	 -3
1400	 14.63	 0.75	 -0.84	 1	 1	 1	 -3	 -3	 -3
1500	 14.62	 0.82	 -1.24	 1	 1	 1	 -3	 -3	 -3
1600	 12.85	 0.87	 -1.70	 1	 1	 1	 -3	 -3	 -3
1700	 12.85	 -0.13	 -0.95	 1	 1	 1	 -3	 -3	 -3
1800	 13.55	 -0.11	 -1.27	 1	 1	 1	 -3	 -3	 -3
1900	 13.55	 -0.97	 -1.21	 1	 1	 1	 -3	 -3	 -3
2000	 13.55	 -1.07	 -0.88	 0	 1	 1	 -2	 -3	 -3
2100	 13.55	 -0.97	 -0.40	 0	 1	 1	 -2	 -3	 -3
2200	 13.55	 -1.23	 0.85	 1	 1	 1	 -3	 -3	 -3
2300	 13.55	 -1.08	 0.34	 0	 1	 1	 -2	 -3	 -3
2400	 13.55	 -1.65	 1.56	 1	 1	 1	 -3	 -3	 -3
2500	 18.05	 -1.82	 1.50	 1	 1	 1	 -3	 -3	 -3
2600	 6.42	 -2.02	 -0.82	 1	 1	 1	 -3	 -3	 -3
2700	 6.42	 -2.28	 -1.26	 1	 1	 1	 -3	 -3	 -3
2800	 9.67	 -1.64	 -0.84	 1	 1	 1	 -3	 -3	 -3
2900	 11.36	 -1.56	 -0.93	 1	 1	 1	 -3	 -3	 -3
3000	 11.36	 -1.51	 -1.41	 1	 1	 1	 -3	 -3	 -3
3100	 24.78	 -1.53	 -1.57	 1	 1	 1	 -3	 -3	 -3
3200	 24.78	 -2.13	 -1.11	 1	 1	 1	 -3	 -3	 -3
3300	 63.79	 -2.32	 -1.49	 1	 1	 1	 -3	 -3	 -3
3400	 63.79	 -3.09	 -1.63	 1	 1	 1	 -3	 -3	 -3
3500	 87.41	 -3.59	 -0.94	 1	 1	 1	 -3	 -3	 -3
